"","rank","username","tweets","followers","following","grade"
"1","1","katyperry","8,123","97,781,203","204","A++"
"2","2","justinbieber","30,640","93,805,899","302,693","A++"
"3","3","BarackObama","15,444","87,932,413","630,022","A++"
"4","4","taylorswift13","4,161","83,976,994","244","A++"
"5","5","rihanna","9,907","71,805,462","1,132","A++"
"6","6","YouTube","19,645","68,367,784","998","A++"
"7","7","TheEllenShow","14,252","67,588,544","36,120","A++"
"8","8","ladygaga","8,312","66,330,637","129,514","A++"
"9","9","Twitter","4,903","60,797,270","159","A++"
"10","10","jtimberlake","3,606","59,167,409","237","A++"
"11","11","britneyspears","5,168","52,776,018","391,637","A+"
"12","12","Cristiano","2,872","52,144,817","95","A+"
"13","13","KimKardashian","23,235","51,551,078","105","A+"
"14","14","cnnbrk","55,521","48,688,601","122","A+"
"15","15","selenagomez","4,205","47,223,495","1,271","A+"
"16","16","jimmyfallon","9,807","45,999,195","7,589","A+"
"17","17","ArianaGrande","40,127","45,380,591","65,885","A+"
"18","18","shakira","4,723","44,865,968","199","A+"
"19","19","ddlovato","15,669","43,073,989","470","A+"
"20","20","JLo","11,118","41,123,506","1,735","A"
"21","21","instagram","10,622","39,856,955","4","A"
"22","22","Oprah","12,046","36,797,406","279","A"
"23","23","nytimes","276,882","36,055,161","894","A"
"24","24","Drake","1,711","35,182,087","638","A"
"25","25","KingJames","5,332","35,166,315","167","A"
"26","26","BillGates","2,347","34,745,094","183","A"
"27","27","CNN","130,023","34,284,749","1,119","A"
"28","28","KevinHart4real","32,795","32,847,792","549","A"
"29","29","MileyCyrus","8,465","32,286,894","373","A"
"30","30","SportsCenter","94,638","32,137,563","1,676","A"
"31","31","BBCBreaking","31,913","32,125,097","3","A-"
"32","32","onedirection","9,927","31,748,986","3,952","A-"
"33","33","espn","87,755","31,456,662","300","A-"
"34","34","Harry_Styles","5,363","29,973,836","2,032","A-"
"35","35","LilTunechi","1,651","29,836,210","44","A-"
"36","36","narendramodi","15,086","29,827,811","1,753","A-"
"37","37","BrunoMars","3,834","29,546,293","110","A-"
"38","38","Pink","6,242","29,538,820","432","A-"
"39","39","wizkhalifa","43,141","29,512,729","800","A-"
"40","40","NiallOfficial","11,538","29,511,754","5,921","A-"
"41","41","realDonaldTrump","34,889","29,056,867","45","A-"
"42","42","neymarjr","40,950","28,844,626","747","A-"
"43","43","Adele","288","28,046,840","157","A-"
"44","44","kanyewest","991","27,283,913","1","A-"
"45","45","KAKA","4,660","26,784,417","354","A-"
"46","46","SrBachchan","56,711","26,700,133","1,142","A-"
"47","47","ActuallyNPH","2,682","26,542,678","95","A-"
"48","48","danieltosh","13,445","26,113,800","130","A-"
"49","49","aliciakeys","7,142","25,867,845","681","A-"
"50","50","NBA","166,065","25,035,454","1,602","A-"
"51","51","iamsrk","56,339","24,820,182","82","A-"
"52","52","EmmaWatson","1,581","24,628,978","354","A-"
"53","53","Louis_Tomlinson","5,970","24,533,325","3,764","A-"
"54","54","pitbull","7,215","24,195,709","2,666","A-"
"55","55","LiamPayne","9,371","23,965,098","16,638","A-"
"56","56","khloekardashian","54,647","23,770,140","319","A-"
"57","57","NASA","46,987","23,450,614","263","A-"
"58","58","realmadrid","56,738","23,337,797","53","A-"
"59","59","ConanOBrien","2,960","23,163,068","1","A-"
"60","60","BeingSalmanKhan","42,127","22,738,071","23","A-"
"61","61","kourtneykardash","12,015","22,276,977","72","A-"
"62","62","NFL","141,679","21,986,776","2,444","A-"
"63","63","KendallJenner","9,015","21,821,421","140","A-"
"64","64","zaynmalik","3,326","21,776,948","2,279","A-"
"65","65","davidguetta","3,776","21,492,638","258","A-"
"66","66","FCBarcelona","86,819","21,159,253","59","A-"
"67","67","NICKIMINAJ","38,277","20,899,741","4,538","A-"
"68","68","Eminem","647","20,793,982","0","A-"
"69","69","AvrilLavigne","3,496","20,777,054","150","A-"
"70","70","aamir_khan","470","20,736,198","9","A-"
"71","71","KylieJenner","12,016","20,550,515","1,172","A-"
"72","72","TheEconomist","106,104","20,547,260","159","A-"
"73","73","coldplay","6,524","20,330,409","1,510","A-"
"74","74","chrisbrown","3,400","20,254,611","1","A-"
"75","75","BBCWorld","255,459","19,550,593","83","B+"
"76","76","blakeshelton","10,174","19,255,557","718","B+"
"77","77","edsheeran","32,287","18,448,177","774","B+"
"78","78","deepikapadukone","3,227","18,294,609","74","B+"
"79","79","aplusk","9,539","18,042,933","765","B+"
"80","80","PMOIndia","15,018","17,889,332","387","B+"
"81","81","Google","70,750","17,867,045","203","B+"
"82","82","MariahCarey","7,304","17,826,940","95","B+"
"83","83","Reuters","186,920","17,662,361","1,050","B+"
"84","84","LeoDiCaprio","908","17,538,948","144","B+"
"85","85","akshaykumar","3,737","17,496,715","23","B+"
"86","86","MohamadAlarefe","34,077","17,422,145","5","B+"
"87","87","ricky_martin","6,266","17,391,433","402","B+"
"88","88","NatGeo","36,732","17,268,489","21","B+"
"89","89","priyankachopra","19,840","17,261,954","517","B+"
"90","90","iHrithik","4,175","17,211,085","88","B+"
"91","91","POTUS","530","17,162,514","41","B+"
"92","92","shugairi","8,478","16,979,270","139","B+"
"93","93","SnoopDogg","39,030","16,726,370","2,741","B+"
"94","94","VineCreators","3,704","16,693,293","0","B+"
"95","95","agnezmo","14,601","16,410,108","1,070","B+"
"96","96","xtina","975","16,326,456","23","B+"
"97","97","AlejandroSanz","27,728","16,086,413","1,084","B+"
"98","98","RyanSeacrest","12,598","16,033,695","559","B+"
"99","99","andresiniesta8","1,437","16,020,514","76","B+"
"100","100","sachin_rt","1,548","15,939,531","79","B+"
